VACINAS,Convenio,Preco
Teste do Pezinho Novo Master,AMIL,0.0
Teste do Pezinho Novo Expandido,AMIL,0.0
Teste do Pezinho Completo,AMIL,0.0
Teste do Pezinho NOVA ERA,AMIL,0.0
17 OHP - Hiperplasia Adrenal,AMIL,0.0
Anti HIV,AMIL,0.0
Aminoacidopatias,AMIL,0.0
Citomegalovirus IgM,AMIL,0.0
Deficiência da Biotinidase,AMIL,0.0
Deficiência da G6PD,AMIL,0.0
Deficiência de MCAD,AMIL,0.0
Perfil Tandem Avaliação QUALI,AMIL,0.0
Perfil Tandem Avaliação QUANTI (ACIL + PAA),AMIL,0.0
Doença de Chagas,AMIL,0.0
Doença de Gaucher,AMIL,0.0
Doença de Pompe,AMIL,0.0
Doença de Fabry,AMIL,0.0
Galactosemia,AMIL,0.0
Hemoglobinopatias,AMIL,0.0
IRT - Fibrose Cística,AMIL,0.0
PKU - Fenilcetonúria,AMIL,0.0
Rubéola,AMIL,0.0
Sífilis,AMIL,0.0
Surdez Genética,AMIL,0.0
T4 - Hipotireoidismo,AMIL,0.0
Toxoplasmose,AMIL,0.0
TSH - Hipotireoidismo,AMIL,0.0
"Pesq. de imunodeficiências
Congênitas (SCID)",AMIL,0.0
"Perfil Bioquímico para Doenças
Lisossômicas",AMIL,0.0
Triagem Molecular p/ Atrofia Muscular Espinhal (AME),AMIL,0.0
"Perfil Quantitativo para Leucinose
(MSDU)",AMIL,0.0
BCG,BNDES,87.71
Dengue (Qdenga),BNDES,0.0
Febre Amarela,BNDES,136.99
Febre Tifóide,BNDES,140.35
Gripe HD quadri 2025 (Efluelda),BNDES,0.0
Gripe quadrivalente 2025,BNDES,100.0
Gripe Trivalente,BNDES,0.0
Haemophius (Act Hib),BNDES,80.7
Hepatite A + B Ad.,BNDES,231.65
Hepatite A Adt.,BNDES,192.98
Hepatite A Ped.,BNDES,154.47
Hepatite B Adt.,BNDES,95.84
Hepatite B Ped.,BNDES,87.8
Herpes Zóster (Shingrix),BNDES,901.77
Hexa,BNDES,353.06
HPV 9V  (Gardasil 9),BNDES,0.0
Meningo ACWY,BNDES,372.93
Meningo B  (Bexsero - GSK ),BNDES,710.36
Meningo B  (Trumenba - Pfizer ),BNDES,0.0
Penta,BNDES,248.05
Pneumocócica 13V (Prevenar 13),BNDES,298.8
Pneumocócica 15V (Vaxneuvance),BNDES,0.0
Pneumocócica 20V  (Prevenar 20),BNDES,0.0
Pneumocócica 23V,BNDES,102.3
Rotavírus 5v (Rotateq),BNDES,281.9
Tetra bacteriana (dTpa/IPV),BNDES,222.21
Tetra Viral,BNDES,327.54
Tríplice Bacteriana AD (dTpa),BNDES,190.56
Tríplice Viral,BNDES,70.16
Varicela,BNDES,219.87
AJOVY,BNDES,0.0
Dupilumabe (Dupixent),BNDES,0.0
Imunoglobulina Anti- Rh,BNDES,0.0
"Neo Decapeptyl LP® 11,25 mg",BNDES,0.0
"Neo Decapeptyl LP® 22,5 mg",BNDES,0.0
"Neo Decapeptyl® 3,75 mg",BNDES,0.0
Nirsevimabe (Beyfortus) ,BNDES,0.0
"Palivizumabe 0,5ml",BNDES,0.0
Palivizumabe 1ml,BNDES,0.0
VSR (Abrysvo),BNDES,0.0
VSR (Arexvy),BNDES,0.0
Consulta ao viajante (Somente copacabana) ,BNDES,0.0
Perfuração de orelha ad/ped,BNDES,0.0
Teste da Orelhinha,BNDES,0.0
Teste do Pezinho Básico,BNDES,0.0
Teste do Pezinho Novo Plus,BNDES,0.0
Teste do Pezinho Novo Ampliado,BNDES,0.0
Teste do Pezinho Novo Master,BNDES,0.0
Teste do Pezinho Novo Expandido,BNDES,0.0
Teste do Pezinho Completo,BNDES,0.0
Teste do Pezinho NOVA ERA,BNDES,0.0
17 OHP - Hiperplasia Adrenal,BNDES,0.0
Anti HIV,BNDES,0.0
Aminoacidopatias,BNDES,0.0
Citomegalovirus IgM,BNDES,0.0
Deficiência da Biotinidase,BNDES,0.0
Deficiência da G6PD,BNDES,0.0
Deficiência de MCAD,BNDES,0.0
Perfil Tandem Avaliação QUALI,BNDES,0.0
Perfil Tandem Avaliação QUANTI (ACIL + PAA),BNDES,0.0
Doença de Chagas,BNDES,0.0
Doença de Gaucher,BNDES,0.0
Doença de Pompe,BNDES,0.0
Doença de Fabry,BNDES,0.0
Galactosemia,BNDES,0.0
Hemoglobinopatias,BNDES,0.0
IRT - Fibrose Cística,BNDES,0.0
PKU - Fenilcetonúria,BNDES,0.0
Rubéola,BNDES,0.0
Sífilis,BNDES,0.0
Surdez Genética,BNDES,0.0
T4 - Hipotireoidismo,BNDES,0.0
Toxoplasmose,BNDES,0.0
TSH - Hipotireoidismo,BNDES,0.0
"Pesq. de imunodeficiências
Congênitas (SCID)",BNDES,0.0
"Perfil Bioquímico para Doenças
Lisossômicas",BNDES,0.0
Triagem Molecular p/ Atrofia Muscular Espinhal (AME),BNDES,0.0
"Perfil Quantitativo para Leucinose
(MSDU)",BNDES,0.0
BCG,BRADESCO CONCIERGE,116.6
Dengue (Qdenga),BRADESCO CONCIERGE,0.0
Febre Amarela,BRADESCO CONCIERGE,185.5
Febre Tifóide,BRADESCO CONCIERGE,137.8
Gripe HD quadri 2025 (Efluelda),BRADESCO CONCIERGE,0.0
Gripe quadrivalente 2025,BRADESCO CONCIERGE,0.0
Gripe Trivalente,BRADESCO CONCIERGE,0.0
Haemophius (Act Hib),BRADESCO CONCIERGE,0.0
Hepatite A + B Ad.,BRADESCO CONCIERGE,230.0
Hepatite A Adt.,BRADESCO CONCIERGE,180.2
Hepatite A Ped.,BRADESCO CONCIERGE,15.7
Hepatite B Adt.,BRADESCO CONCIERGE,95.4
Hepatite B Ped.,BRADESCO CONCIERGE,74.2
Herpes Zóster (Shingrix),BRADESCO CONCIERGE,0.0
Hexa,BRADESCO CONCIERGE,0.0
HPV 9V  (Gardasil 9),BRADESCO CONCIERGE,0.0
Meningo ACWY,BRADESCO CONCIERGE,413.4
Meningo B  (Bexsero - GSK ),BRADESCO CONCIERGE,0.0
Meningo B  (Trumenba - Pfizer ),BRADESCO CONCIERGE,0.0
Penta,BRADESCO CONCIERGE,0.0
Pneumocócica 13V (Prevenar 13),BRADESCO CONCIERGE,0.0
Pneumocócica 15V (Vaxneuvance),BRADESCO CONCIERGE,0.0
Pneumocócica 20V  (Prevenar 20),BRADESCO CONCIERGE,0.0
Pneumocócica 23V,BRADESCO CONCIERGE,0.0
Rotavírus 5v (Rotateq),BRADESCO CONCIERGE,0.0
Tetra bacteriana (dTpa/IPV),BRADESCO CONCIERGE,243.8
Tetra Viral,BRADESCO CONCIERGE,381.6
Tríplice Bacteriana AD (dTpa),BRADESCO CONCIERGE,0.0
Tríplice Viral,BRADESCO CONCIERGE,0.0
Varicela,BRADESCO CONCIERGE,0.0
AJOVY,BRADESCO CONCIERGE,0.0
Dupilumabe (Dupixent),BRADESCO CONCIERGE,0.0
Imunoglobulina Anti- Rh,BRADESCO CONCIERGE,0.0
"Neo Decapeptyl LP® 11,25 mg",BRADESCO CONCIERGE,0.0
"Neo Decapeptyl LP® 22,5 mg",BRADESCO CONCIERGE,0.0
"Neo Decapeptyl® 3,75 mg",BRADESCO CONCIERGE,0.0
Nirsevimabe (Beyfortus) ,BRADESCO CONCIERGE,0.0
"Palivizumabe 0,5ml",BRADESCO CONCIERGE,0.0
Palivizumabe 1ml,BRADESCO CONCIERGE,0.0
VSR (Abrysvo),BRADESCO CONCIERGE,0.0
VSR (Arexvy),BRADESCO CONCIERGE,0.0
Consulta ao viajante (Somente copacabana) ,BRADESCO CONCIERGE,0.0
Perfuração de orelha ad/ped,BRADESCO CONCIERGE,0.0
Teste da Orelhinha,BRADESCO CONCIERGE,0.0
Teste do Pezinho Básico,BRADESCO CONCIERGE,0.0
Teste do Pezinho Novo Plus,BRADESCO CONCIERGE,0.0
Teste do Pezinho Novo Ampliado,BRADESCO CONCIERGE,0.0
Teste do Pezinho Novo Master,BRADESCO CONCIERGE,0.0
Teste do Pezinho Novo Expandido,BRADESCO CONCIERGE,413.4
Teste do Pezinho Completo,BRADESCO CONCIERGE,0.0
Teste do Pezinho NOVA ERA,BRADESCO CONCIERGE,0.0
17 OHP - Hiperplasia Adrenal,BRADESCO CONCIERGE,0.0
Anti HIV,BRADESCO CONCIERGE,0.0
Aminoacidopatias,BRADESCO CONCIERGE,0.0
Citomegalovirus IgM,BRADESCO CONCIERGE,0.0
Deficiência da Biotinidase,BRADESCO CONCIERGE,0.0
Deficiência da G6PD,BRADESCO CONCIERGE,0.0
Deficiência de MCAD,BRADESCO CONCIERGE,0.0
Perfil Tandem Avaliação QUALI,BRADESCO CONCIERGE,0.0
Perfil Tandem Avaliação QUANTI (ACIL + PAA),BRADESCO CONCIERGE,0.0
Doença de Chagas,BRADESCO CONCIERGE,0.0
Doença de Gaucher,BRADESCO CONCIERGE,0.0
Doença de Pompe,BRADESCO CONCIERGE,0.0
Doença de Fabry,BRADESCO CONCIERGE,0.0
Galactosemia,BRADESCO CONCIERGE,0.0
Hemoglobinopatias,BRADESCO CONCIERGE,0.0
IRT - Fibrose Cística,BRADESCO CONCIERGE,0.0
PKU - Fenilcetonúria,BRADESCO CONCIERGE,0.0
Rubéola,BRADESCO CONCIERGE,0.0
Sífilis,BRADESCO CONCIERGE,0.0
Surdez Genética,BRADESCO CONCIERGE,0.0
T4 - Hipotireoidismo,BRADESCO CONCIERGE,0.0
Toxoplasmose,BRADESCO CONCIERGE,0.0
TSH - Hipotireoidismo,BRADESCO CONCIERGE,0.0
"Pesq. de imunodeficiências
Congênitas (SCID)",BRADESCO CONCIERGE,0.0
"Perfil Bioquímico para Doenças
Lisossômicas",BRADESCO CONCIERGE,0.0
Triagem Molecular p/ Atrofia Muscular Espinhal (AME),BRADESCO CONCIERGE,0.0
"Perfil Quantitativo para Leucinose
(MSDU)",BRADESCO CONCIERGE,0.0
BCG,BRADESCO AVON / NATURA,0.0
Dengue (Qdenga),BRADESCO AVON / NATURA,460.0
Febre Amarela,BRADESCO AVON / NATURA,0.0
Febre Tifóide,BRADESCO AVON / NATURA,0.0
Gripe HD quadri 2025 (Efluelda),BRADESCO AVON / NATURA,0.0
Gripe quadrivalente 2025,BRADESCO AVON / NATURA,0.0
Gripe Trivalente,BRADESCO AVON / NATURA,0.0
Haemophius (Act Hib),BRADESCO AVON / NATURA,149.35
Hepatite A + B Ad.,BRADESCO AVON / NATURA,339.9
Hepatite A Adt.,BRADESCO AVON / NATURA,257.5
Hepatite A Ped.,BRADESCO AVON / NATURA,190.55
Hepatite B Adt.,BRADESCO AVON / NATURA,0.0
Hepatite B Ped.,BRADESCO AVON / NATURA,0.0
Herpes Zóster (Shingrix),BRADESCO AVON / NATURA,0.0
Hexa,BRADESCO AVON / NATURA,406.85
HPV 9V  (Gardasil 9),BRADESCO AVON / NATURA,990.0
Meningo ACWY,BRADESCO AVON / NATURA,453.2
Meningo B  (Bexsero - GSK ),BRADESCO AVON / NATURA,721.0
Meningo B  (Trumenba - Pfizer ),BRADESCO AVON / NATURA,0.0
Penta,BRADESCO AVON / NATURA,350.2
Pneumocócica 13V (Prevenar 13),BRADESCO AVON / NATURA,365.65
Pneumocócica 15V (Vaxneuvance),BRADESCO AVON / NATURA,0.0
Pneumocócica 20V  (Prevenar 20),BRADESCO AVON / NATURA,0.0
Pneumocócica 23V,BRADESCO AVON / NATURA,185.4
Rotavírus 5v (Rotateq),BRADESCO AVON / NATURA,350.2
Tetra bacteriana (dTpa/IPV),BRADESCO AVON / NATURA,0.0
Tetra Viral,BRADESCO AVON / NATURA,0.0
Tríplice Bacteriana AD (dTpa),BRADESCO AVON / NATURA,257.5
Tríplice Viral,BRADESCO AVON / NATURA,0.0
Varicela,BRADESCO AVON / NATURA,288.4
AJOVY,BRADESCO AVON / NATURA,0.0
Dupilumabe (Dupixent),BRADESCO AVON / NATURA,0.0
Imunoglobulina Anti- Rh,BRADESCO AVON / NATURA,0.0
"Neo Decapeptyl LP® 11,25 mg",BRADESCO AVON / NATURA,0.0
"Neo Decapeptyl LP® 22,5 mg",BRADESCO AVON / NATURA,0.0
"Neo Decapeptyl® 3,75 mg",BRADESCO AVON / NATURA,0.0
Nirsevimabe (Beyfortus) ,BRADESCO AVON / NATURA,0.0
"Palivizumabe 0,5ml",BRADESCO AVON / NATURA,0.0
Palivizumabe 1ml,BRADESCO AVON / NATURA,0.0
VSR (Abrysvo),BRADESCO AVON / NATURA,0.0
VSR (Arexvy),BRADESCO AVON / NATURA,0.0
Consulta ao viajante (Somente copacabana) ,BRADESCO AVON / NATURA,0.0
Perfuração de orelha ad/ped,BRADESCO AVON / NATURA,0.0
Teste da Orelhinha,BRADESCO AVON / NATURA,0.0
Teste do Pezinho Básico,BRADESCO AVON / NATURA,0.0
Teste do Pezinho Novo Plus,BRADESCO AVON / NATURA,0.0
Teste do Pezinho Novo Ampliado,BRADESCO AVON / NATURA,0.0
Teste do Pezinho Novo Master,BRADESCO AVON / NATURA,0.0
Teste do Pezinho Novo Expandido,BRADESCO AVON / NATURA,0.0
Teste do Pezinho Completo,BRADESCO AVON / NATURA,0.0
Teste do Pezinho NOVA ERA,BRADESCO AVON / NATURA,0.0
17 OHP - Hiperplasia Adrenal,BRADESCO AVON / NATURA,0.0
Anti HIV,BRADESCO AVON / NATURA,0.0
Aminoacidopatias,BRADESCO AVON / NATURA,0.0
Citomegalovirus IgM,BRADESCO AVON / NATURA,0.0
Deficiência da Biotinidase,BRADESCO AVON / NATURA,0.0
Deficiência da G6PD,BRADESCO AVON / NATURA,0.0
Deficiência de MCAD,BRADESCO AVON / NATURA,0.0
Perfil Tandem Avaliação QUALI,BRADESCO AVON / NATURA,0.0
Perfil Tandem Avaliação QUANTI (ACIL + PAA),BRADESCO AVON / NATURA,0.0
Doença de Chagas,BRADESCO AVON / NATURA,0.0
Doença de Gaucher,BRADESCO AVON / NATURA,0.0
Doença de Pompe,BRADESCO AVON / NATURA,0.0
Doença de Fabry,BRADESCO AVON / NATURA,0.0
Galactosemia,BRADESCO AVON / NATURA,0.0
Hemoglobinopatias,BRADESCO AVON / NATURA,0.0
IRT - Fibrose Cística,BRADESCO AVON / NATURA,0.0
PKU - Fenilcetonúria,BRADESCO AVON / NATURA,0.0
Rubéola,BRADESCO AVON / NATURA,0.0
Sífilis,BRADESCO AVON / NATURA,0.0
Surdez Genética,BRADESCO AVON / NATURA,0.0
T4 - Hipotireoidismo,BRADESCO AVON / NATURA,0.0
Toxoplasmose,BRADESCO AVON / NATURA,0.0
TSH - Hipotireoidismo,BRADESCO AVON / NATURA,0.0
"Pesq. de imunodeficiências
Congênitas (SCID)",BRADESCO AVON / NATURA,0.0
"Perfil Bioquímico para Doenças
Lisossômicas",BRADESCO AVON / NATURA,0.0
Triagem Molecular p/ Atrofia Muscular Espinhal (AME),BRADESCO AVON / NATURA,0.0
"Perfil Quantitativo para Leucinose
(MSDU)",BRADESCO AVON / NATURA,0.0
BCG,CAMARJ,0.0
Dengue (Qdenga),CAMARJ,460.0
Febre Amarela,CAMARJ,242.81
Febre Tifóide,CAMARJ,175.95
Gripe HD quadri 2025 (Efluelda),CAMARJ,0.0
Gripe quadrivalente 2025,CAMARJ,0.0
Gripe Trivalente,CAMARJ,0.0
Haemophius (Act Hib),CAMARJ,0.0
Hepatite A + B Ad.,CAMARJ,238.05
Hepatite A Adt.,CAMARJ,279.45
Hepatite A Ped.,CAMARJ,196.65
Hepatite B Adt.,CAMARJ,279.45
Hepatite B Ped.,CAMARJ,113.85
Herpes Zóster (Shingrix),CAMARJ,820.0
Hexa,CAMARJ,434.7
HPV 9V  (Gardasil 9),CAMARJ,965.0
Meningo ACWY,CAMARJ,476.1
Meningo B  (Bexsero - GSK ),CAMARJ,746.24
Meningo B  (Trumenba - Pfizer ),CAMARJ,0.0
Penta,CAMARJ,372.6
Pneumocócica 13V (Prevenar 13),CAMARJ,362.25
Pneumocócica 15V (Vaxneuvance),CAMARJ,362.25
Pneumocócica 20V  (Prevenar 20),CAMARJ,565.0
Pneumocócica 23V,CAMARJ,163.01
Rotavírus 5v (Rotateq),CAMARJ,341.55
Tetra bacteriana (dTpa/IPV),CAMARJ,269.1
Tetra Viral,CAMARJ,434.7
Tríplice Bacteriana AD (dTpa),CAMARJ,269.1
Tríplice Viral,CAMARJ,134.55
Varicela,CAMARJ,271.69
AJOVY,CAMARJ,0.0
Dupilumabe (Dupixent),CAMARJ,0.0
Imunoglobulina Anti- Rh,CAMARJ,0.0
"Neo Decapeptyl LP® 11,25 mg",CAMARJ,0.0
"Neo Decapeptyl LP® 22,5 mg",CAMARJ,0.0
"Neo Decapeptyl® 3,75 mg",CAMARJ,0.0
Nirsevimabe (Beyfortus) ,CAMARJ,0.0
"Palivizumabe 0,5ml",CAMARJ,0.0
Palivizumabe 1ml,CAMARJ,0.0
VSR (Abrysvo),CAMARJ,0.0
VSR (Arexvy),CAMARJ,0.0
Consulta ao viajante (Somente copacabana) ,CAMARJ,0.0
Perfuração de orelha ad/ped,CAMARJ,0.0
Teste da Orelhinha,CAMARJ,0.0
Teste do Pezinho Básico,CAMARJ,119.54
Teste do Pezinho Novo Plus,CAMARJ,239.09
Teste do Pezinho Novo Ampliado,CAMARJ,304.5
Teste do Pezinho Novo Master,CAMARJ,489.04
Teste do Pezinho Novo Expandido,CAMARJ,543.38
Teste do Pezinho Completo,CAMARJ,1290.0
Teste do Pezinho NOVA ERA,CAMARJ,0.0
17 OHP - Hiperplasia Adrenal,CAMARJ,0.0
Anti HIV,CAMARJ,0.0
Aminoacidopatias,CAMARJ,0.0
Citomegalovirus IgM,CAMARJ,0.0
Deficiência da Biotinidase,CAMARJ,0.0
Deficiência da G6PD,CAMARJ,0.0
Deficiência de MCAD,CAMARJ,0.0
Perfil Tandem Avaliação QUALI,CAMARJ,0.0
Perfil Tandem Avaliação QUANTI (ACIL + PAA),CAMARJ,0.0
Doença de Chagas,CAMARJ,0.0
Doença de Gaucher,CAMARJ,0.0
Doença de Pompe,CAMARJ,0.0
Doença de Fabry,CAMARJ,0.0
Galactosemia,CAMARJ,0.0
Hemoglobinopatias,CAMARJ,0.0
IRT - Fibrose Cística,CAMARJ,0.0
PKU - Fenilcetonúria,CAMARJ,0.0
Rubéola,CAMARJ,0.0
Sífilis,CAMARJ,0.0
Surdez Genética,CAMARJ,0.0
T4 - Hipotireoidismo,CAMARJ,0.0
Toxoplasmose,CAMARJ,0.0
TSH - Hipotireoidismo,CAMARJ,0.0
"Pesq. de imunodeficiências
Congênitas (SCID)",CAMARJ,0.0
"Perfil Bioquímico para Doenças
Lisossômicas",CAMARJ,0.0
Triagem Molecular p/ Atrofia Muscular Espinhal (AME),CAMARJ,0.0
"Perfil Quantitativo para Leucinose
(MSDU)",CAMARJ,0.0
BCG,CAMPERJ,107.68
Dengue (Qdenga),CAMPERJ,400.0
Febre Amarela,CAMPERJ,210.95
Febre Tifóide,CAMPERJ,139.99
Gripe HD quadri 2025 (Efluelda),CAMPERJ,285.0
Gripe quadrivalente 2025,CAMPERJ,100.0
Gripe Trivalente,CAMPERJ,0.0
Haemophius (Act Hib),CAMPERJ,107.78
Hepatite A + B Ad.,CAMPERJ,250.0
Hepatite A Adt.,CAMPERJ,177.67
Hepatite A Ped.,CAMPERJ,177.67
Hepatite B Adt.,CAMPERJ,0.0
Hepatite B Ped.,CAMPERJ,96.12
Herpes Zóster (Shingrix),CAMPERJ,850.0
Hexa,CAMPERJ,422.16
HPV 9V  (Gardasil 9),CAMPERJ,0.0
Meningo ACWY,CAMPERJ,430.19
Meningo B  (Bexsero - GSK ),CAMPERJ,741.9
Meningo B  (Trumenba - Pfizer ),CAMPERJ,0.0
Penta,CAMPERJ,319.58
Pneumocócica 13V (Prevenar 13),CAMPERJ,310.0
Pneumocócica 15V (Vaxneuvance),CAMPERJ,0.0
Pneumocócica 20V  (Prevenar 20),CAMPERJ,0.0
Pneumocócica 23V,CAMPERJ,110.0
Rotavírus 5v (Rotateq),CAMPERJ,285.0
Tetra bacteriana (dTpa/IPV),CAMPERJ,235.48
Tetra Viral,CAMPERJ,350.0
Tríplice Bacteriana AD (dTpa),CAMPERJ,215.36
Tríplice Viral,CAMPERJ,90.97
Varicela,CAMPERJ,180.0
AJOVY,CAMPERJ,0.0
Dupilumabe (Dupixent),CAMPERJ,0.0
Imunoglobulina Anti- Rh,CAMPERJ,400.0
"Neo Decapeptyl LP® 11,25 mg",CAMPERJ,0.0
"Neo Decapeptyl LP® 22,5 mg",CAMPERJ,0.0
"Neo Decapeptyl® 3,75 mg",CAMPERJ,0.0
Nirsevimabe (Beyfortus) ,CAMPERJ,0.0
"Palivizumabe 0,5ml",CAMPERJ,0.0
Palivizumabe 1ml,CAMPERJ,0.0
VSR (Abrysvo),CAMPERJ,0.0
VSR (Arexvy),CAMPERJ,0.0
Consulta ao viajante (Somente copacabana) ,CAMPERJ,285.78
Perfuração de orelha ad/ped,CAMPERJ,0.0
Teste da Orelhinha,CAMPERJ,0.0
Teste do Pezinho Básico,CAMPERJ,125.49
Teste do Pezinho Novo Plus,CAMPERJ,327.35
Teste do Pezinho Novo Ampliado,CAMPERJ,274.87
Teste do Pezinho Novo Master,CAMPERJ,534.67
Teste do Pezinho Novo Expandido,CAMPERJ,571.56
Teste do Pezinho Completo,CAMPERJ,1732.5
Teste do Pezinho NOVA ERA,CAMPERJ,0.0
17 OHP - Hiperplasia Adrenal,CAMPERJ,0.0
Anti HIV,CAMPERJ,0.0
Aminoacidopatias,CAMPERJ,0.0
Citomegalovirus IgM,CAMPERJ,0.0
Deficiência da Biotinidase,CAMPERJ,0.0
Deficiência da G6PD,CAMPERJ,0.0
Deficiência de MCAD,CAMPERJ,0.0
Perfil Tandem Avaliação QUALI,CAMPERJ,0.0
Perfil Tandem Avaliação QUANTI (ACIL + PAA),CAMPERJ,0.0
Doença de Chagas,CAMPERJ,0.0
Doença de Gaucher,CAMPERJ,0.0
Doença de Pompe,CAMPERJ,0.0
Doença de Fabry,CAMPERJ,0.0
Galactosemia,CAMPERJ,0.0
Hemoglobinopatias,CAMPERJ,0.0
IRT - Fibrose Cística,CAMPERJ,0.0
PKU - Fenilcetonúria,CAMPERJ,0.0
Rubéola,CAMPERJ,0.0
Sífilis,CAMPERJ,0.0
Surdez Genética,CAMPERJ,0.0
T4 - Hipotireoidismo,CAMPERJ,0.0
Toxoplasmose,CAMPERJ,0.0
TSH - Hipotireoidismo,CAMPERJ,0.0
"Pesq. de imunodeficiências
Congênitas (SCID)",CAMPERJ,0.0
"Perfil Bioquímico para Doenças
Lisossômicas",CAMPERJ,0.0
Triagem Molecular p/ Atrofia Muscular Espinhal (AME),CAMPERJ,0.0
"Perfil Quantitativo para Leucinose
(MSDU)",CAMPERJ,0.0
BCG,CAREPLUS,118.92
Dengue (Qdenga),CAREPLUS,404.88
Febre Amarela,CAREPLUS,199.54
Febre Tifóide,CAREPLUS,171.78
Gripe HD quadri 2025 (Efluelda),CAREPLUS,280.0
Gripe quadrivalente 2025,CAREPLUS,100.0
Gripe Trivalente,CAREPLUS,90.0
Haemophius (Act Hib),CAREPLUS,105.04
Hepatite A + B Ad.,CAREPLUS,227.24
Hepatite A Adt.,CAREPLUS,224.63
Hepatite A Ped.,CAREPLUS,144.03
Hepatite B Adt.,CAREPLUS,118.92
Hepatite B Ped.,CAREPLUS,87.23
Herpes Zóster (Shingrix),CAREPLUS,820.0
Hexa,CAREPLUS,436.07
HPV 9V  (Gardasil 9),CAREPLUS,0.0
Meningo ACWY,CAREPLUS,462.47
Meningo B  (Bexsero - GSK ),CAREPLUS,819.2
Meningo B  (Trumenba - Pfizer ),CAREPLUS,0.0
Penta,CAREPLUS,277.49
Pneumocócica 13V (Prevenar 13),CAREPLUS,369.97
Pneumocócica 15V (Vaxneuvance),CAREPLUS,0.0
Pneumocócica 20V  (Prevenar 20),CAREPLUS,0.0
Pneumocócica 23V,CAREPLUS,128.84
Rotavírus 5v (Rotateq),CAREPLUS,267.96
Tetra bacteriana (dTpa/IPV),CAREPLUS,272.21
Tetra Viral,CAREPLUS,409.62
Tríplice Bacteriana AD (dTpa),CAREPLUS,67.38
Tríplice Viral,CAREPLUS,98.44
Varicela,CAREPLUS,227.27
AJOVY,CAREPLUS,0.0
Dupilumabe (Dupixent),CAREPLUS,0.0
Imunoglobulina Anti- Rh,CAREPLUS,0.0
"Neo Decapeptyl LP® 11,25 mg",CAREPLUS,0.0
"Neo Decapeptyl LP® 22,5 mg",CAREPLUS,0.0
"Neo Decapeptyl® 3,75 mg",CAREPLUS,0.0
Nirsevimabe (Beyfortus) ,CAREPLUS,0.0
"Palivizumabe 0,5ml",CAREPLUS,4471.3
Palivizumabe 1ml,CAREPLUS,8687.0
VSR (Abrysvo),CAREPLUS,1698.0
VSR (Arexvy),CAREPLUS,0.0
Consulta ao viajante (Somente copacabana) ,CAREPLUS,0.0
Perfuração de orelha ad/ped,CAREPLUS,0.0
Teste da Orelhinha,CAREPLUS,184.17
Teste do Pezinho Básico,CAREPLUS,127.53
Teste do Pezinho Novo Plus,CAREPLUS,0.0
Teste do Pezinho Novo Ampliado,CAREPLUS,255.09
Teste do Pezinho Novo Master,CAREPLUS,0.0
Teste do Pezinho Novo Expandido,CAREPLUS,0.0
Teste do Pezinho Completo,CAREPLUS,0.0
Teste do Pezinho NOVA ERA,CAREPLUS,0.0
17 OHP - Hiperplasia Adrenal,CAREPLUS,0.0
Anti HIV,CAREPLUS,0.0
Aminoacidopatias,CAREPLUS,0.0
Citomegalovirus IgM,CAREPLUS,0.0
Deficiência da Biotinidase,CAREPLUS,0.0
